date	likes	retweets	text	username	filtered_text	labels	x	y	vader_polarity
Wed Jun 13 16:26:00 +0000 2018	0	32	"RT @RepBeatty: What has @realDonaldTrump accomplished in 500+ days? 
Americans need #ABetterDeal! https://t.co/uShXMzsQzl"	BennieGThompson	repbeatty what have realdonaldtrump accomplish in day american need abetterdeal	9	10.716670036315918	0.939712643623352	0.4215
Tue Jun 12 20:36:03 +0000 2018	0	16	RT @RepWilson: Tomorrow is Wear Something Red Wednesday, the day on which members of Congress show their support for the #ChibokGirls. We a…	BennieGThompson	repwilson tomorrow be wear something red wednesday the day on which member of congress show their suppo for the chibokgirls we a	2	-18.622058868408203	-14.446856498718262	0.0
Tue Jun 12 19:44:06 +0000 2018	28	23	Fifty-five years ago, Civil Right icon, Medgar Evers, was assassinated in front of his Jackson home. We will never forget. https://t.co/RDKfxsK755	BennieGThompson	fiftyfive year ago civil right icon medgar evers be assassinate in front of his jackson home we will never forget	9	8.476115226745605	4.567099094390869	0.1695
Fri Jun 15 15:35:27 +0000 2018	38	11	We should call President Trump’s outrageous family separation policy what it is. A gross human rights violation. Read my full statement here: https://t.co/UpYK5wTA2L	BettyMcCollum04	we should call president trump outrageous family separation policy what it be a gross human right violation read my full statement here	5	-19.90326690673828	4.71113920211792	-0.8519
Thu Jun 14 23:45:00 +0000 2018	96	25	Today I am wishing Muslims in Minnesota and around the world a joyous and blessed Eid al-Fitr. Eid Mubarak! https://t.co/Bi7IzCkw3i	BettyMcCollum04	today i be wish muslim in minnesota and around the world a joyous and bless eid alfitr eid mubarak	7	19.785198211669922	15.77767562866211	0.8625
Thu Jun 14 21:30:00 +0000 2018	11	3	Tonight in the spirit of bipartisanship, Democrats and Republicans will face off in a friendly game of baseball for the time-honored tradition of the Congressional Baseball Game. Good luck to the players on both sides, and go Dems!	BettyMcCollum04	tonight in the spirit of bipaisanship democrat and republican will face off in a friendly game of baseball for the timehonored tradition of the congressional baseball game good luck to the player on both side and go dems	1	-10.436107635498047	29.34555053710937	0.8689
Thu Jun 14 20:05:34 +0000 2018	4	4	@realDonaldTrump @HouseGOP The GOP’s sabotage efforts have come in the form of: the #GOPTaxScam that kicked 13 mil. off of their health insurance, the disruption of https://t.co/yPq2zOAyUi and open enrollment, the intro of short-term “junk” plans, &amp; the continued assault on Medicare and Medicaid.	BettyMcCollum04	realdonaldtrump housegop the gops sabotage effos have come in the form of the goptaxscam that kick mil off of their health insurance the disruption of and open enrollment the intro of shoterm junk plan the continue assault on medicare and medicaid	3	-8.309380531311035	1.636539101600647	-0.8658
Thu Jun 14 20:05:14 +0000 2018	3	4	MN individual &amp; group insurance rates are set to be released tomorrow. We will see the effects of @realDonaldTrump and @HouseGOP sabotage of our healthcare system in the form of higher premiums for Minnesotans.	BettyMcCollum04	mn individual group insurance rate be set to be release tomorrow we will see the effect of realdonaldtrump and housegop sabotage of our healthcare system in the form of high premium for minnesotan	3	-8.294476509094237	1.6374790668487549	-0.5267
Fri Jun 15 15:00:57 +0000 2018	23	12	The passage yesterday of the bipartisan STOP Act which I cosponsored will ensure the Postal Service and our law enforcement partners have the tools they need to keep illegal opioids out of the mail and off of our streets. https://t.co/IcuP5yhz0v	BillPascrell	the passage yesterday of the bipaisan stop act which i cosponsor will ensure the postal service and our law enforcement paners have the tool they need to keep illegal opioids out of the mail and off of our street	2	-33.27880859375	-24.33510971069336	-0.4939
Fri Jun 15 13:11:48 +0000 2018	132	59	A man who expresses bottomless regard for dictators tells us he wants to be one himself. https://t.co/V8IdWy7NDE	BillPascrell	a man who express bottomless regard for dictator tell us he want to be one himself	6	-12.317214965820312	-6.95478630065918	0.0772
Fri Jun 15 01:59:12 +0000 2018	10	3	Skipper @USRepMikeDoyle put me in and I preserved a perfect day with a base-on-balls. #CongressionalBaseballGame #CBG18 https://t.co/CyOuxnlV8I	BillPascrell	skipper usrepmikedoyle put me in and i preserve a perfect day with a baseonballs congressionalbaseballgame cbg	1	-7.546654224395753	32.477188110351555	0.5719
Fri Jun 15 01:11:17 +0000 2018	18	4	I'd settle to resemble one of my childhood idols, the Old Perfessor Casey Stengel. #CongressionalBaseballGame #CBG18 https://t.co/nE2gOgXGGj	BillPascrell	id settle to resemble one of my childhood idols the old perfessor casey stengel congressionalbaseballgame cbg	1	-8.620553016662598	32.26824951171875	0.0
Fri Jun 15 00:40:08 +0000 2018	35	6	A gorgeous night at Nats Park for the #CongressionalBaseballGame. Inspired to see @SteveScalise on the field. I'm semi retired but doing my part at first base. #letsplaytwo https://t.co/TxsCzqng24	BillPascrell	a gorgeous night at nats park for the congressionalbaseballgame inspire to see stevescalise on the field im semi retire but do my pa at first base letsplaytwo	1	-9.699684143066406	30.555891036987305	0.5927
Thu Jun 14 15:51:02 +0000 2018	0	11	RT @WhipHoyer: I thank @FrankPallone, @RepRichardNeal, @RepJerryNadler, &amp; @BobbyScott for holding the Trump Administration accountable for…	BobbyScott	whiphoyer i thank frankpallone reprichardneal repjerrynadler bobbyscott for hold the trump administration accountable for	2	-21.68084144592285	-17.955841064453125	0.3612
Thu Jun 14 14:12:59 +0000 2018	0	6	RT @edworkforcedems: 📺#Watch The DOJ asked a federal court to strike down two of the most popular protections in the ACA. Yesterday, RM @Bo…	BobbyScott	edworkforcedems watch the doj ask a federal cou to strike down two of the most popular protection in the aca yesterday rm bo	1	-10.195696830749512	30.888946533203125	0.3804
Wed Jun 13 16:15:37 +0000 2018	10	11	Last year, the @HouseGOP voted to rip protections away from millions of Americans with pre-existing conditions. Now, the Trump DOJ is trying to finish what they started. #ProtectOurCare https://t.co/cJcz24Sz38	BobbyScott	last year the housegop vote to rip protection away from million of american with preexisting condition now the trump doj be try to finish what they staed protectourcare	9	18.946701049804688	-9.965210914611816	0.0
Fri Jun 15 00:23:27 +0000 2018	12	3	"#CongressionalBaseballGame with my staff. A great, bipartisan event that raises thousands of dollars for charity.

Great to see @SteveScalise make the first play of the game! https://t.co/HzvpZ5vqF2"	boblatta	congressionalbaseballgame with my staff a great bipaisan event that raise thousand of dollar for charitygreat to see stevescalise make the first play of the game	1	-10.740550994873047	30.28503799438477	0.7579
Thu Jun 14 21:01:19 +0000 2018	26	5	While every Member of Congress is celebrating #FlagDay, only one gets to represent #FlagCityUSA. https://t.co/d7QkqAq3Od	boblatta	while every member of congress be celebrate flagday only one get to represent flagcityusa	9	9.970417022705078	2.139027833938598	0.5719
Thu Jun 14 20:38:42 +0000 2018	1	1	Happy 243rd birthday to the @USArmy! #GoArmy #ThisWellDefend	boblatta	happy rd bihday to the usarmy goarmy thiswelldefend	9	9.67581272125244	1.932532906532288	0.5719
Thu Jun 14 17:12:33 +0000 2018	10	2	It will be a welcome sight to see @stevescalise out on the field at tonight’s #CongressionalBaseballGame. Go get ‘em Steve! #scalisestrong https://t.co/SCewTDreBL	boblatta	it will be a welcome sight to see stevescalise out on the field at tonight congressionalbaseballgame go get em steve scalisestrong	1	-9.071649551391602	31.917673110961914	0.4588
Wed Jun 13 15:06:50 +0000 2018	84	29	".@realDonaldTrump tweeting today: There's no longer a nuclear threat from #NorthKorea.

Brad Sherman on the House floor today: If you believe that, you believe he's been faithful to all three of his wives. https://t.co/2fk4ppWAF0"	BradSherman	realdonaldtrump tweet today theres no longer a nuclear threat from nohkoreabrad sherman on the house floor today if you believe that you believe he be faithful to all three of his wife	8	-2.001821517944336	2.547154664993286	-0.4019
Wed Jun 13 14:13:56 +0000 2018	25	9	The violence against the #Rohingya in Burma is unconscionable.  Bangladesh has presented evidence to the International Criminal Court regarding the crimes against the Rohingya. #HumanRights are not optional, and every nation has an obligation to ensure justice in this case.	BradSherman	the violence against the rohingya in burma be unconscionable bangladesh have present evidence to the international criminal cou regard the crime against the rohingya humanrights be not optional and every nation have an obligation to ensure justice in this case	1	-10.311123847961426	29.944150924682614	-0.7184
Tue Jun 12 16:02:22 +0000 2018	11	8	"#TrumpKimSummit.  The Iran Deal is like a clunker: it wouldn't serve its purpose for many years.  The #NorthKorea deal is like a picture of a Lamborghini.

Read my statement on the #SingaporeSummit below. https://t.co/etQmCghSCO"	BradSherman	trumpkimsummit the iran deal be like a clunker it wouldnt serve its purpose for many year the nohkorea deal be like a picture of a lamborghiniread my statement on the singaporesummit below	2	-30.92299652099609	-23.26374244689941	0.6124
Tue Jun 12 16:19:48 +0000 2018	6	2	Congratulations to Mitch McConnell on becoming the longest serving Majority Leader in Senate history! It is an honor to work alongside him to advance the interests of Kentucky and the nation! He continues to... https://t.co/0wvYuwolPK	brettguthrie	congratulation to mitch mcconnell on become the long serving majority leader in senate history it be an honor to work alongside him to advance the interest of kentucky and the nation he continue to	9	16.890869140625	-7.044493675231934	0.8779
Mon Jun 04 14:26:30 +0000 2018	3	0	Had a great time at the Brass Band Festival last week in Danville! Was wonderful to see so many friends including Ryan Quarles! https://t.co/RfD2ObJwcZ	brettguthrie	have a great time at the brass band festival last week in danville be wonderful to see so many friend include ryan quarles	7	19.327747344970703	15.644264221191404	0.938
Tue May 15 15:10:59 +0000 2018	8	0	Enjoyed being in Owensboro for the BBQ Festival this weekend. Great food and even better people!	brettguthrie	enjoy be in owensboro for the bbq festival this weekend great food and even good people	9	10.012283325195312	2.175148725509644	0.9246
Tue Mar 13 14:39:11 +0000 2018	3	0	Thank you NFIB for endorsing my campaign for re-election! Passing tax reform, reigning in regulations, fixing... https://t.co/TvQw1o7UmE	brettguthrie	thank you nfib for endorse my caign for reelection pass tax reform reigning in regulation fix	2	-21.691381454467773	-17.997379302978516	0.5859
Mon Feb 26 15:54:12 +0000 2018	4	0	Agriculture and its impact is so important to the 2nd District. I enjoyed chatting with several people at the... https://t.co/jG6a0o4Y6e	brettguthrie	agriculture and its impact be so impoant to the nd district i enjoy chat with several people at the	2	-23.75273704528809	-19.151592254638672	0.4939
Fri Jun 15 15:28:01 +0000 2018	2	2	"Leading an effort along w/ @SenatorCardin @ChrisVanHollen @RepSarbanes @RepJohnDelaney to help #Maryland #Crab shacks get the regulatory relief they need to stay open! 
https://t.co/eZ6fWGbehi"	Call_Me_Dutch	lead an effo along w senatorcardin chrisvanhollen repsarbanes repjohndelaney to help maryland crab shack get the regulatory relief they need to stay open	8	-1.765184998512268	2.9194791316986084	0.7003
Thu Jun 14 21:57:03 +0000 2018	0	7	RT @HouseHomeland: Join us next week on Thursday, June 21st for the second annual, bipartisan Capitol Hill National Security Forum hosted b…	Call_Me_Dutch	househomeland join us next week on thursday june st for the second annual bipaisan capitol hill national security forum host b	2	-30.937728881835934	-23.26266860961914	0.5574
Wed Jun 13 19:21:13 +0000 2018	19	7	Got a chance to speak from the heart this morning on an issue that breaks my heart as a father and grandfather. We need common sense #immigration reform, but taking children from their parents is wrong under any circumstance. We have to #KeepFamiliesTogether https://t.co/R0N5P5Khb1	Call_Me_Dutch	get a chance to speak from the hea this morning on an issue that break my hea as a father and grandfather we need common sense immigration reform but take child from their parent be wrong under any circumstance we have to keepfamiliestogether	4	-1.2195062637329102	-5.5001068115234375	-0.5647
Wed Jun 13 16:38:48 +0000 2018	4	2	Working w/ fellow @AppropsDems @HouseAppropsGOP to mark-up bill that funds @DeptofDefense and ensures it has the resources it needs to protect American lives. Big impact on #Maryland + #MD02, home to many #defense agencies, contractors https://t.co/kmQO7cOt3w	Call_Me_Dutch	work w fellow appropsdems houseappropsgop to markup bill that fund deptofdefense and ensure it have the resource it need to protect american life big impact on maryland md home to many defense agency contractor	2	-35.96815872192383	-25.25605583190918	0.6908
Wed Jun 13 02:35:43 +0000 2018	8	6	This day marks two years since the #Pulse Night Club shooting. The loved ones of the many victims stay in our thoughts and prayers, but we also need to #HonorThemWithAction to end senseless #gunviolence https://t.co/gHnQbItiYt	Call_Me_Dutch	this day mark two year since the pulse night club shoot the loved one of the many victim stay in our thought and prayer but we also need to honohemwithaction to end senseless gunviolence	5	-19.782609939575195	5.4880781173706055	0.0516
Fri Jun 15 15:13:00 +0000 2018	8	4	"We’re committed to combating the #opioidcrisis and that can only be done through…
✓ Treatment and recovery
✓ Prevention
✓ Protecting communities
✓ Fighting fentanyl
https://t.co/XRbtco6CDQ https://t.co/mlkQWFFi1k"	cathymcmorris	be commit to combat the opioidcrisis and that can only be do through treatment and recovery prevention protect community fight fentanyl	7	20.02541160583496	16.47943115234375	-0.0516
Fri Jun 15 00:21:19 +0000 2018	152	32	What a moment! So inspired by your strength, @SteveScalise. #TeamScalise. #CBG18 https://t.co/G7Ens6iKjF	cathymcmorris	what a moment so inspired by your strength stevescalise teamscalise cbg	1	-8.070195198059082	32.52490997314453	0.8083
Thu Jun 14 21:22:00 +0000 2018	2	1	The #opioidcrisis has been wreaking havoc on communities for far too long. Check out what @HouseGOP is doing to combat this horrible crisis → https://t.co/XRbtco6CDQ	cathymcmorris	the opioidcrisis have be wreak havoc on community for far too long check out what housegop be do to combat this horrible crisis	2	-23.76673698425293	-19.12563133239746	-0.9385
Fri Jun 15 12:38:22 +0000 2018	10	3	Eid Mubarak! Best wishes to all those celebrating Eid al-Fitr! https://t.co/AM7f7NyW8C	chelliepingree	eid mubarak best wish to all those celebrate eid alfitr	7	19.964405059814453	15.233601570129395	0.891
Thu Jun 14 19:18:37 +0000 2018	55	18	"Today I cosponsored the House version of the Keep Families Together Act, a companion bill to @SenFeinstein’s legislation because #FamiliesBelongTogether. #mepolitics 

My full statement: https://t.co/mpYFgPt8u8"	chelliepingree	today i cosponsor the house version of the keep family together act a companion bill to senfeinsteins legislation because familiesbelongtogether mepolitics my full statement	2	-26.501405715942386	-20.513036727905273	0.0
Thu Jun 14 18:04:34 +0000 2018	45	8	Thank you for introducing this bill in the Senate, @SenFeinstein. I am an original cosponsor of the Keep Families Together Act in the House because #FamiliesBelongTogether. #mepolitics https://t.co/L1y0YLz5sG	chelliepingree	thank you for introduce this bill in the senate senfeinstein i be an original cosponsor of the keep family together act in the house because familiesbelongtogether mepolitics	2	-24.84695243835449	-19.821643829345703	0.5859
Thu Jun 14 16:57:16 +0000 2018	166	51	VIDEO: I’ve cosponsored legislation to stop the Trump Administration’s insidious practice of separating children from their parents. I ask the Republican majority to end its complicity and let us vote on H.R. 5950, the HELP Separated Children Act. #mepolitics https://t.co/ueQ9syiuKL	chelliepingree	video ive cosponsored legislation to stop the trump administration insidious practice of separate child from their parent i ask the republican majority to end its complicity and let us vote on hr the help separate child act mepolitics	2	-36.69060516357422	-25.752628326416016	0.128
Thu Jun 07 17:23:19 +0000 2018	25	14	Last night the House passed the WRDA bill increasing authorization for the Lake Marion Regional Water System by almost $30 million.  This is a big deal and extends access to potable water in Calhoun, Orangeburg, Dorchester, and Berkeley Counties.	Clyburn	last night the house pass the wrda bill increase authorization for the lake marion regional water system by almost million this be a big deal and extend access to potable water in calhoun orangeburg dorchester and berkeley county	2	-32.20817184448242	-23.783100128173828	0.4588
Thu May 24 21:17:11 +0000 2018	14	4	Americans deserve #ABetterDeal on their taxes. Click here to read my newsletter https://t.co/kYLfggYVgm #GOPTaxScam https://t.co/I8YloALVi3	Clyburn	american deserve abetterdeal on their tax click here to read my newsletter goptaxscam	1	-9.055275917053224	31.899477005004886	0.0
Thu May 24 16:19:23 +0000 2018	39	10	Great meeting this morning with Presiding Bishop Micheal B. Curry of @iamepiscopalian. On behalf of the Democratic Faith Working Group, I look forward to working him and his team. @PB_Curry https://t.co/AIGlqnS1Gg	Clyburn	great meeting this morning with preside bishop micheal b curry of iamepiscopalian on behalf of the democratic faith work group i look forward to work him and his team pb_curry	7	19.463274002075195	16.487689971923828	0.7845
Thu May 24 13:00:01 +0000 2018	36	7	Happy to welcome Presiding Bishop Michael B. Curry of @iamepiscopalian to Capitol Hill. I'm looking forward to meeting with him today. @PB_Curry	Clyburn	happy to welcome preside bishop michael b curry of iamepiscopalian to capitol hill im look forward to meet with him today pb_curry	6	-11.93351936340332	-6.619366645812987	0.7717
Wed May 23 19:46:51 +0000 2018	5	4	Many thanks to @RepCummings, @OversightDems and the staff for their help on this report: https://t.co/JQvfuLYER1 on the #GOPTaxScam	Clyburn	many thanks to repcummings oversightdems and the staff for their help on this repo on the goptaxscam	2	-21.570777893066406	-18.3406982421875	0.6808
Wed May 30 13:13:19 +0000 2018	0	502	"RT @SpeakerRyan: Did you miss this news? Congress sent 3 major bills to the @WhiteHouse last week:

✔#RightToTry
✔Improving #Veterans’ acce…"	ConawayTX11	speakerryan do you miss this news congress send major bill to the whitehouse last weekrighttotryimproving veteran acce	5	-19.360445022583008	5.21959114074707	-0.1531
Wed May 23 19:49:01 +0000 2018	3	2	Glad to have you in DC, Dr. May! https://t.co/7SPUjCnG8j	ConawayTX11	glad to have you in dc dr may	8	-1.8988962173461916	2.678635597229004	0.4588
Wed May 23 19:32:49 +0000 2018	24	4	Always great to have you on Capitol Hill, @SecretarySonny https://t.co/W3WUA2Ieue	ConawayTX11	always great to have you on capitol hill secretarysonny	2	-20.340721130371094	-16.38414192199707	0.6249
Tue May 22 21:47:56 +0000 2018	6	3	The National Defense Authorization Act is crucial to providing our servicemembers with the resources they need to successfully execute their missions. #FY19NDAA debate on the House Floor starts now: https://t.co/PLuVFB9Gau	ConawayTX11	the national defense authorization act be crucial to provide our servicemembers with the resource they need to successfully execute their mission fyndaa debate on the house floor stas now	2	-31.18407249450684	-22.88410186767578	0.5719
Tue Jun 12 20:19:52 +0000 2018	5	4	Space Coast Projects Receive Priority Funding by Army Corps https://t.co/p9F3DnUWsM	congbillposey	space coast project receive priority funding by army corp	0	2.850782871246338	13.411635398864744	0.0
Tue May 22 14:58:37 +0000 2018	17	1	Katie and I filled some care packages for the troops at a USO event at the Capitol #flex4forces https://t.co/a3EZmQjRS1	congbillposey	katie and i fill some care package for the troop at a uso event at the capitol flexforces	4	-1.856370568275452	-5.33181619644165	0.4939
Thu Mar 22 17:54:54 +0000 2018	13	4	Committee Approves Rep. Posey’s Bipartisan Commercial Space Legislation https://t.co/JZynqMdV3g	congbillposey	committee approve rep poseys bipaisan commercial space legislation	3	-8.187698364257812	1.6153589487075806	0.0
Tue Mar 06 20:47:23 +0000 2018	0	16	RT @congbillposey: @angelicahale and @HerreraBeutler  stopped by to have a Facebook live chat about kidney disease this afternoon https://t…	congbillposey	congbillposey angelicahale and herrerabeutler stop by to have a facebook live chat about kidney disease this afternoon	2	-21.680644989013672	-17.955978393554688	-0.296
Fri Jun 15 17:11:28 +0000 2018	24	9	"To use a bible passage to justify separating children from parents to appease your base is disgusting &amp; offensive. This is not who we are as a country. 
https://t.co/alaNAjLJxV"	CongBoyle	to use a bible passage to justify separate child from parent to appease your base be disgust offensive this be not who we be as a country	5	-19.39241981506348	5.160037040710449	-0.7003
Thu Jun 14 18:56:05 +0000 2018	14	7	On Flag Day we celebrate the adoption of our flag by the Second Continental Congress in 1777. For 241 years, our flag has served as a great symbol of freedom and liberty. #FlagDay2018 https://t.co/orcxdoUfXY	CongBoyle	on flag day we celebrate the adoption of our flag by the second continental congress in for year our flag have serve as a great symbol of freedom and libey flagday	9	20.337934494018555	-12.901023864746096	0.9186
Thu Jun 14 18:12:14 +0000 2018	6	1	Great to see Rev. Bonnie Camarda and members of @esperanza_us here in Washington this week. I applaud Esperanza’s tradition of community service and commitment to strengthening Hispanic communities through education, economic development and advocacy. https://t.co/U9U6WwcsbL	CongBoyle	great to see rev bonnie camarda and member of esperanza_us here in washington this week i applaud esperanzas tradition of community service and commitment to strengthen hispanic community through education economic development and advocacy	9	19.871383666992188	-11.633970260620115	0.9001
Thu Jun 14 16:57:34 +0000 2018	11	2	Danish Ambassador Lars Gert Lose stopped by my office this week. We had a very good discussion on diplomatic issues and other important topics. Thank you @DKambUSA for taking the time to have these valuable discussions. https://t.co/HpNaudHB4N	CongBoyle	danish ambassador lars ge lose stop by my office this week we have a very good discussion on diplomatic issue and other impoant topic thank you dkambusa for take the time to have these valuable discussion	2	-29.79498863220215	-22.181865692138672	0.5984
Thu Jun 14 21:08:26 +0000 2018	2	1	While no single bill can end the #OpioidCrisis, the proposals passed in the House this week represent a major step toward ending prescription drug abuse in America. Read my full statement: https://t.co/JZfiiArLge https://t.co/ERQT7opJdL	CongCulberson	while no single bill can end the opioidcrisis the proposal pass in the house this week represent a major step toward end prescription drug abuse in america read my full statement	2	-21.68351554870605	-13.70844841003418	-0.7506
Thu Jun 14 18:38:12 +0000 2018	4	1	Happy 243rd birthday, @USArmy, and thank you to the incredible men and woman who serve our country! #ArmyBDay https://t.co/Dnk4G4H582	CongCulberson	happy rd bihday usarmy and thank you to the incredible men and woman who serve our country armybday	9	15.476781845092773	-5.606828689575195	0.7351
Thu Jun 14 13:46:32 +0000 2018	6	2	My statement on the summit between @POTUS and North Korean Leader Kim Jong Un: https://t.co/wVrodCyiS2 https://t.co/ZEcNFDgU6F	CongCulberson	my statement on the summit between potus and noh korean leader kim jong un	5	-19.7032413482666	4.477532386779785	0.0
Wed Jun 13 18:52:30 +0000 2018	0	30	RT @cathymcmorris: Just a few milligrams of fentanyl can be lethal. That amount of fentanyl is about the size of Lincoln’s ear on a penny.…	CongCulberson	cathymcmorris just a few milligram of fentanyl can be lethal that amount of fentanyl be about the size of lincolns ear on a penny	6	-12.198104858398438	-7.241110324859619	0.0
Fri Jun 15 16:24:05 +0000 2018	0	1	(1/2) I applaud this Administration for permanently rescinding the hastily developed Obama Administration rule on ‘waters of the United States’.	CongMikeSimpson	i applaud this administration for permanently rescind the hastily develop obama administration rule on water of the united state	9	6.6665754318237305	1.8471007347106931	0.7003
Fri Jun 15 15:34:19 +0000 2018	0	17	RT @HouseAppropsGOP: The FY19 Labor, HHS, Education bill has been approved by the Subcommittee on a voice vote. https://t.co/00g31aXkXw	CongMikeSimpson	houseappropsgop the fy labor hhs education bill have be approve by the subcommittee on a voice vote	6	-12.30817699432373	-6.5942206382751465	0.0
Thu Jun 14 23:01:33 +0000 2018	10	2	"I hope you enjoyed your #FlagDay as much as I did.

 #sweetfreedom https://t.co/thyI4Yt4LH"	CongMikeSimpson	i hope you enjoy your flagday as much as i do sweetfreedom	9	8.326807022094728	3.661975860595703	0.7269
Thu Jun 14 21:31:56 +0000 2018	3	1	"Sariah Cockrell from Salmon Idaho is participating as a U.S. Representative for the American Legion Auxiliary Idaho Syringa Girls State.  Thanks for stopping by our Boise office today Sariah!   
#idgirlsstatecity2
#idgirlsstate
#americanlegionauxiliary https://t.co/PUEkCV6rLi"	CongMikeSimpson	sariah cockrell from salmon idaho be paicipating as a us representative for the american legion auxiliary idaho syringa girl state thanks for stop by our boise office today sariah idgirlsstatecityidgirlsstateamericanlegionauxiliary	9	15.40058135986328	-5.470159530639648	0.1779
Thu Jun 14 19:52:04 +0000 2018	25	5	Glad to see my good friend Mr. Scalise making his way back on to the field. Excited for tonight's baseball game! https://t.co/FPsuqi8Loe	CongPalazzo	glad to see my good friend mr scalise make his way back on to the field excite for tonight baseball game	1	-9.848615646362305	30.141605377197266	0.9042
Thu Jun 14 19:43:24 +0000 2018	0	14	RT @JimBridenstine: Happy #FlagDay! The American flag is a symbol of leadership, achievement, and sacrifice wherever it might be flying. ht…	CongPalazzo	jimbridenstine happy flagday the american flag be a symbol of leadership achievement and sacrifice wherever it might be fly ht	9	14.641409873962402	-3.974140167236328	0.5719
Thu Jun 14 18:16:00 +0000 2018	8	2	Today, we honor our flag, along with the valor, purity, and justice it represents. On this day 241 years ago, Old Glory was adopted as the official flag of this nation. #FlagDay https://t.co/2NhXONWhQd	CongPalazzo	today we honor our flag along with the valor purity and justice it represent on this day year ago old glory be adopt as the official flag of this nation flagday	9	20.84278678894043	-12.602888107299805	0.8957
Thu Jun 14 15:41:41 +0000 2018	0	3	RT @RCLFMS: THANK YOU to @CongPalazzo for offering an amendment to the House Appropriations Bill that added $25M to @CDFIFund programs brin…	CongPalazzo	rclfms thank you to congpalazzo for offer an amendment to the house appropriation bill that add m to cdfifund program brin	2	-21.49325180053711	-18.38275146484375	0.3612
